node,degree_centrality,weighted_degree,betweenness,pagerank,clustering,Name,isAlive
Lark,0.009302325581395349,30,0.0031896793494893753,0.001218537083805856,0.042038849318063974,Lark,0
Kyra,0.0015503875968992248,4,0.0,0.0003560107613791993,0.0,Kyra,0
Lorren,0.006201550387596899,17,1.3642126887829615e-05,0.0010197230982236683,0.030676156296864914,Lorren,0
Urzen,0.0031007751937984496,6,0.0,0.000478084586056833,0.04794044828790834,Urzen,1
Palla,0.0031007751937984496,6,0.0,0.0004331644461358136,0.06040117993933235,Palla,1
Werlag,0.0031007751937984496,6,0.0,0.0005078943063653096,0.039782256010778644,Werlag,1
Owen,0.015503875968992248,47,0.0008856803956964771,0.0014495002198700504,0.032130080025821885,Owen,1
Lamprey,0.006201550387596899,19,1.604956104450543e-06,0.0007646245176103746,0.05868267143919705,Lamprey,1
Husband,0.0031007751937984496,7,0.0,0.0003924617056905783,0.07728998385532114,Husband,1
Lem,0.023255813953488372,155,0.007633224874174169,0.004127478434774615,0.04779139820527609,Lem,1
Sharna,0.006201550387596899,15,2.407434156675815e-06,0.0005754000076177616,0.052938149532446084,Sharna,1
Arson,0.0015503875968992248,3,0.0,0.0003010014125780862,0.0,Arson,1
Mero,0.006201550387596899,24,0.0031007751937984496,0.0010367057776250383,0.06579629507835132,Mero,0
Porridge,0.004651162790697674,14,0.0,0.000618332456682704,0.07241471886441742,Porridge,1
Frenken,0.0015503875968992248,4,0.0,0.0004808747062383384,0.0,Frenken,1
Bannen,0.0031007751937984496,16,0.0,0.0006273178539847761,0.08325811120495404,Bannen,0
Bedwyck,0.007751937984496124,18,0.0,0.0007061681923590786,0.05387596839811306,Bedwyck,1
Blane,0.0015503875968992248,3,0.0,0.0003085052115897472,0.0,Blane,1
Brella,0.0031007751937984496,8,0.0,0.00042423132320400356,0.06071908674192161,Brella,1
Brenett,0.0015503875968992248,3,0.0,0.0003084537507921579,0.0,Brenett,1
Walton,0.007751937984496124,34,0.0031007751937984496,0.0012322659187386995,0.05065683509454828,Walton,1
Butterbumps,0.0031007751937984496,10,0.0,0.0004590754076558137,0.07956451202155729,Butterbumps,1
Tansy,0.009302325581395349,25,0.0003190825525835873,0.0008325467384465963,0.03417907616086259,Tansy,1
Cleon,0.0031007751937984496,9,0.0,0.0006681405305366268,0.0471670800140827,Cleon,0
Ghael,0.0031007751937984496,8,0.0,0.0006254536636729317,0.0471670800140827,Ghael,1
Gilly,0.020155038759689922,122,0.001303214046916402,0.003328736890146306,0.041111068507620294,Gilly,1
Dirk,0.0031007751937984496,10,0.0,0.0005049154021937637,0.06315039504117824,Dirk,0
Sallor,0.0031007751937984496,9,0.0,0.0007644410511457264,0.0455393150564412,Sallor,0
Dalla,0.006201550387596899,29,5.336479047298056e-06,0.0009123200411186828,0.0970023161266429,Dalla,0
Watt,0.0015503875968992248,3,0.0,0.00031376547784714014,0.0,Watt,0
Errok,0.004651162790697674,14,1.604956104450543e-06,0.0006678738983358672,0.05229810997666198,Errok,1
Grigg,0.004651162790697674,15,1.604956104450543e-06,0.0007001479600210118,0.04817906111568062,Grigg,1
Gendel,0.0031007751937984496,6,0.0,0.0005234427558993715,0.03614457831325302,Gendel,1
Gorne,0.0031007751937984496,6,0.0,0.0005234427558993715,0.03614457831325302,Gorne,1
Kegs,0.010852713178294573,29,1.4676142438673132e-05,0.0009971296900488584,0.04198857922671146,Kegs,1
Jarl,0.012403100775193798,68,3.209912208901086e-05,0.001853801328601214,0.07939544653326787,Jarl,0
Grisel,0.0015503875968992248,3,0.0,0.00029954549743831853,0.0,Grisel,1
Mully,0.007751937984496124,17,9.629736626703259e-07,0.0007030305568594047,0.04768594008045888,Mully,1
Orell,0.0031007751937984496,9,0.0,0.0004402518781664032,0.11934676803233592,Orell,0
Ryk,0.006201550387596899,29,0.0,0.0009117566473999846,0.11731009428714782,Ryk,1
Zei,0.0015503875968992248,3,0.0,0.0003010014125780862,0.0,Zei,1
Joramun,0.0015503875968992248,3,0.0,0.00029782032721226983,0.0,Joramun,1
Kella,0.0015503875968992248,3,0.0,0.00029774039363938054,0.0,Kella,1
